#MGI Accession ID	Chr	cM Position	genome coordinate start	genome coordinate end	strand	Marker Symbol	Status	Marker Name	Marker Type	Feature Type	Marker Synonyms (pipe-separated)
MGI:1915571	0610007P14Rik	RIKEN cDNA 0610007P14 gene	ORF11
MGI:2159324	Cln6	ceroid-lipofuscinosis, neuronal 6	D9Bwg1455e|1810065L06Rik
MGI:1351468	Clnk	cytokine-dependent hematopoietic cell linker	MIST
MGI:1922786	Clnkos	cytokine-dependent hematopoietic cell linker, opposite strand	1700021O21Rik
MGI:109638	Clns1a	chloride channel, nucleotide-sensitive, 1A	Clci|2610036D06Rik|ICLN|2610100O04Rik|Clcni
MGI:109614	Clns1a-ps1	chloride channel, nucleotide-sensitive, 1A, pseudogene 1	Clcni-ps1|Clci-ps1
MGI:109655	Clns1a-rs1	chloride channel, nucleotide-sensitive, 1A, related sequence 1	Clcni-rs1|Clci-rs1
MGI:109631	Clns1a-rs2	chloride channel, nucleotide-sensitive, 1A, related sequence 2	Clci-rs2|Clcni-rs2
MGI:99698	Clock	circadian locomotor output cycles kaput	KAT13D|5330400M04Rik|bHLHe8
MGI:1100517	Clpb	ClpB caseinolytic peptidase B	Skd3
MGI:1858213	Clpp	caseinolytic mitochondrial matrix peptidase proteolytic subunit	D17Wsu160e
MGI:2685595	Clpsl2	colipase-like 2	Gm749|LOC328788
MGI:1927155	Clptm1	cleft lip and palate associated transmembrane protein 1	HS9|N14
MGI:2442892	Clptm1l	CLPTM1-like	C130052I12Rik
MGI:2388124	Clrn1	clarin 1	clarin-1|USH3|A130002D11Rik|Ush3a
MGI:3646230	Clrn2	clarin 2	EG624224
MGI:2142022	Clrn3	clarin 3	Tmem12
MGI:2445153	Clspn	claspin	E130314M08Rik|C85083
MGI:1929895	Clstn1	calsyntenin 1	calsyntenin-1|1810034E21Rik|alcadein alpha|Cst-1
MGI:1929897	Clstn2	calsyntenin 2	Cst-2|CS2|CSTN2|2900042C18Rik
MGI:2178323	Clstn3	calsyntenin 3	alcadein-beta|CSTN3|Cst-3
MGI:1921575	Cltb	clathrin, light polypeptide (Lcb)	2310046E19Rik
MGI:2388633	Cltc	clathrin, heavy polypeptide (Hc)	CHC
MGI:88423	Clu	clusterin	testosterone repressed prostate message-2|complement lysis inhibitor|Sgp-2|Sgp2|Cli|SP-40|Sugp-2|Apolipoprotein J|D14Ucla3|ApoJ
MGI:1924029	Cluap1	clusterin associated protein 1	2310030D15Rik|2610111M03Rik
MGI:1921398	Cluh	clustered mitochondria (cluA/CLU1) homolog	1300001I01Rik
MGI:1921688	Clvs1	clavesin 1	4933402J24Rik|Rlbp1l1
MGI:2443223	Clvs2	clavesin 2	A330019N05Rik|Rlbp1l2
MGI:1916884	Clybl	citrate lyase beta like	Clb|0610033J05Rik|2310014M14Rik
MGI:96941	Cma1	chymase 1, mast cell	Mcp5|Mcpt5|Mcp-5|MMCP-5
MGI:103227	Cmah	cytidine monophospho-N-acetylneuraminic acid hydroxylase	CMP-NeuAc hydroxylase
MGI:1337124	Cmas	cytidine monophospho-N-acetylneuraminic acid synthetase	D6Bwg0250e|CMP-Neu5Ac synthase|CMP-sialic acid synthetase
MGI:1916824	Cmbl	carboxymethylenebutenolidase-like (Pseudomonas)	2310016A09Rik
MGI:1915149	Cmc1	COX assembly mitochondrial protein 1	2010110K16Rik|2010312P05Rik
MGI:1913781	Cmc2	COX assembly mitochondrial protein 2	2310061C15Rik|1110046L09Rik
MGI:5637812	Cmc4	C-x(9)-C motif containing 4	Mtcp1nb
MGI:1921690	Cmip	c-Maf inducing protein	5830471E12Rik|4933407C03Rik
MGI:109603	Cmklr1	chemokine-like receptor 1	Gpcr27|ChemR23
MGI:1913838	Cmpk1	cytidine monophosphate (UMP-CMP) kinase 1	0610011D08Rik|Cmpk
MGI:99830	Cmpk2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial	1200004E04Rik|Tyki|TDKI
MGI:1346025	Cms1	resistance to Coccidioides immitis 1	Cms
MGI:1913747	Cmss1	cms small ribosomal subunit 1	1110001A06Rik|2610528E23Rik|4930572F24Rik
MGI:2447159	Cmtm1	CKLF-like MARVEL transmembrane domain containing 1	Cklfsf1|CKLFH1|CHLFH1a
MGI:2447160	Cmtm2a	CKLF-like MARVEL transmembrane domain containing 2A	1700041N15Rik|ARR19|Cklfsf2a|1700001K04Rik|Cklf|1700063K20Rik
MGI:2447311	Cmtm2b	CKLF-like MARVEL transmembrane domain containing 2B	Cklfsf2b|1700013O04Rik
MGI:2447162	Cmtm3	CKLF-like MARVEL transmembrane domain containing 3	BNAS2|9430096L06Rik|Cklfsf3
MGI:2142888	Cmtm4	CKLF-like MARVEL transmembrane domain containing 4	Cklfsf4
MGI:2447164	Cmtm5	CKLF-like MARVEL transmembrane domain containing 5	Cklfsf5|1500005P16Rik|2900052H21Rik
MGI:2447165	Cmtm6	CKLF-like MARVEL transmembrane domain containing 6	Cklfsf6|2810051A14Rik
MGI:2447166	Cmtm7	CKLF-like MARVEL transmembrane domain containing 7	Cklfsf7
MGI:2447167	Cmtm8	CKLF-like MARVEL transmembrane domain containing 8	Cklfsf8|2700018N07Rik
MGI:1921407	Cmtr1	cap methyltransferase 1	Ftsjd2|1300018I05Rik
MGI:2384580	Cmtr2	cap methyltransferase 2	Ftsjd1|C730036L12Rik
MGI:3850508	cmy1	cardiomyopathy 1	m1Haro|EN1
MGI:3850509	cmy2	cardiomyopathy 2	EN25|m25Haro
MGI:1923719	Cmya5	cardiomyopathy associated 5	Myospryn|2310076E21Rik|2310076E16Rik
MGI:3613655	CN725425	cDNA sequence CN725425	Gm5807
MGI:1918123	Cnbd2	cyclic nucleotide binding domain containing 2	4921517L17Rik|5430421B09Rik
MGI:88431	Cnbp	cellular nucleic acid binding protein	Znf9
MGI:2451097	Cndp1	carnosine dipeptidase 1 (metallopeptidase M20 family)	Cn1
MGI:1913304	Cndp2	CNDP dipeptidase 2 (metallopeptidase M20 family)	Cn2|Dip-2|Pep-1|Pep1|0610010E05Rik
MGI:1921981	Cnep1r1	CTD nuclear envelope phosphatase 1 regulatory subunit 1	5033428A16Rik|Tmem188
MGI:1919633	Cnfn	cornifelin	2210418J09Rik
MGI:88436	Cnga1	cyclic nucleotide gated channel alpha 1	Cncg
MGI:108040	Cnga2	cyclic nucleotide gated channel alpha 2	Cncg4|Cnca|OCNC1
MGI:1341818	Cnga3	cyclic nucleotide gated channel alpha 3	CNG3
MGI:2664102	Cngb1	cyclic nucleotide gated channel beta 1	BC016201|Cngb1|Cngb1b
MGI:1353562	Cngb3	cyclic nucleotide gated channel beta 3	CCNC2|CNG6|Cngbeta2
MGI:1277202	Cnih1	cornichon family AMPA receptor auxiliary protein 1	Cnih
MGI:1277225	Cnih2	cornichon family AMPA receptor auxiliary protein 2	Cnil
MGI:1920228	Cnih3	cornichon family AMPA receptor auxiliary protein 3	2900075G08Rik
MGI:1925828	Cnih4	cornichon family AMPA receptor auxiliary protein 4	E430023H19Rik|D530030D03Rik
MGI:2661175	Cnksr2	connector enhancer of kinase suppressor of Ras 2	Cnk2|Ksr2
MGI:2674130	Cnksr3	Cnksr family member 3	Magi1
MGI:1341171	Cnmd	chondromodulin	Chondromodulin 1|Chmd|Lect1|Bricd3|ChM-I
MGI:104979	Cnn1	calponin 1	calponin h1|CN|CnnI
MGI:105093	Cnn2	calponin 2	Calpo2|h2-calponin
MGI:5010061	Cnn2-ps	calponin2, pseudogene	Gm17876
MGI:1919244	Cnn3	calponin 3, acidic	Calpo3|1600014M03Rik
MGI:1891366	Cnnm1	cyclin M1	Acdp1
MGI:2151054	Cnnm2	cyclin M2	Acdp2
MGI:2151055	Cnnm3	cyclin M3	Acdp3
MGI:2151060	Cnnm4	cyclin M4	5430430O18Rik|Acdp4
MGI:2442402	Cnot1	CCR4-NOT transcription complex, subunit 1	6030411K04Rik
MGI:1926143	Cnot10	CCR4-NOT transcription complex, subunit 10	2600001P13Rik
MGI:106580	Cnot11	CCR4-NOT transcription complex, subunit 11	D1Bwg0212e|2410015L18Rik
MGI:1919318	Cnot2	CCR4-NOT transcription complex, subunit 2	2600016M12Rik|2810470K03Rik
MGI:2385261	Cnot3	CCR4-NOT transcription complex, subunit 3	A930039N10Rik
MGI:1859026	Cnot4	CCR4-NOT transcription complex, subunit 4	Not4hp|Not4|Not4h
MGI:2144529	Cnot6	CCR4-NOT transcription complex, subunit 6	A230103N10Rik
MGI:2443154	Cnot6l	CCR4-NOT transcription complex, subunit 6-like	4932442K20Rik
MGI:1298230	Cnot7	CCR4-NOT transcription complex, subunit 7	Caf1
MGI:1916375	Cnot8	CCR4-NOT transcription complex, subunit 8	1810022F04Rik|1500015I04Rik
MGI:1928902	Cnot9	CCR4-NOT transcription complex, subunit 9	2610007F23Rik|FL10|Rqcd1
MGI:88437	Cnp	2',3'-cyclic nucleotide 3' phosphodiesterase	Cnp-1|CNPase|Cnp1
MGI:88438	Cnpl	cyclic nucleotide phosphodiesterase-like	Cnp2|Cnp-2
MGI:1916421	Cnppd1	cyclin Pas1/PHO80 domain containing 1	1810031K17Rik
MGI:2442451	Cnpy1	canopy FGF signaling regulator 1	9630008K15Rik|1500012D20Rik
MGI:1928477	Cnpy2	canopy FGF signaling regulator 2	5330432A10Rik|Zsig9|Tmem4|D10Bwg1546e
MGI:1919279	Cnpy3	canopy FGF signaling regulator 3	CAG4A|1600025D17Rik|ERDA5|2410050O22Rik|Tnrc5
MGI:1913705	Cnpy4	canopy FGF signaling regulator 4	2610019P18Rik
MGI:104615	Cnr1	cannabinoid receptor 1 (brain)	CB1R|CB1
MGI:104650	Cnr2	cannabinoid receptor 2 (macrophage)	CB2-R|cannabinoid receptor 2 (spleen)|CB2
MGI:1917505	Cnrip1	cannabinoid receptor interacting protein 1	5330437A18Rik|1500041B16Rik|3110054C06Rik
MGI:2445141	Cnst	consortin, connexin sorting protein	9630058J23Rik
MGI:1923965	Cntd1	cyclin N-terminal domain containing 1	1700051C09Rik|5430417M23Rik
MGI:99605	Cntfr	ciliary neurotrophic factor receptor	Cntfralpha
MGI:2443104	Cntln	centlein, centrosomal protein	D530005L17Rik|B430108F07Rik
MGI:105980	Cntn1	contactin 1	usl|CNTN|F3cam
MGI:104518	Cntn2	contactin 2	axonin|TAG-1|Tax|D130012K04Rik
MGI:99534	Cntn3	contactin 3	Pang
MGI:1095737	Cntn4	contactin 4	Axcam|BIG-2A
MGI:3042287	Cntn5	contactin 5	NB-2|A830025P08Rik|6720426O10Rik|LOC244683
MGI:1858223	Cntn6	contactin 6	NB-3
MGI:1858201	Cntnap1	contactin associated protein-like 1	paranodin|Nrxn4|NCP1|p190|Caspr|shm
MGI:1914047	Cntnap2	contactin associated protein-like 2	5430425M22Rik|Caspr2
MGI:2183572	Cntnap4	contactin associated protein-like 4	E130114F09Rik|Caspr4
MGI:3643623	Cntnap5a	contactin associated protein-like 5A	Caspr5-1
MGI:3664583	Cntnap5b	contactin associated protein-like 5B	C230078M14Rik|Caspr5-2
MGI:1889576	Cntrl	centriolin	Cep110|Cep1|6720467O09Rik|Ma2a8|b2b1468Clo|IB3/5
MGI:2443290	Cntrob	centrobin, centrosomal BRCA2 interacting protein	9830165K03Rik|Lip8|Nip2
MGI:1920671	Cntrobos	centrobin, centrosomal BRCA2 interacting protein, opposite strand	1700067G03Rik
MGI:1098757	Coa3	cytochrome C oxidase assembly factor 3	D11Ertd99e|Ccdc56|1810033A19Rik
MGI:1915435	Coa4	cytochrome c oxidase assembly factor 4	5330414O08Rik|Chchd8
MGI:1923428	Coa5	cytochrome C oxidase assembly factor 5	6330578E17Rik|1700001A24Rik|Pet191
MGI:1915142	Coa6	cytochrome c oxidase assembly factor 6	1810063B05Rik
MGI:1917143	Coa7	cytochrome c oxidase assembly factor 7	2010305A19Rik|Selrc1|D4Ertd796e
MGI:1918993	Coasy	Coenzyme A synthase	1300003G02Rik|Ppat|Dpck|Ukr1
MGI:105056	Cobl	cordon-bleu WH2 repeat	C530045F18Rik
MGI:2442894	Cobll1	Cobl-like 1	Coblr1|D430044D16Rik
MGI:1278313	Coch	cochlin	D12H14S564E|Coch-5B2
MGI:1923582	Cog2	component of oligomeric golgi complex 2	1190002B08Rik|Cog2|2700012E02Rik
MGI:2142808	Cog4	component of oligomeric golgi complex 4	D8Ertd515e
MGI:2145130	Cog5	component of oligomeric golgi complex 5	GOLTC1|5430405C01Rik|GTC90
MGI:2685013	Cog7	component of oligomeric golgi complex 7	5630400E24Rik
MGI:2142885	Cog8	component of oligomeric golgi complex 8	C87832
MGI:104842	Coil	coilin	p80-coilin|Cln80
MGI:88445	Col10a1	collagen, type X, alpha 1	Col10a-1|Col10
MGI:88446	Col11a1	collagen, type XI, alpha 1	C530001D20Rik
MGI:1341272	Col14a1	collagen, type XIV, alpha 1	5730412L22Rik
MGI:1095396	Col16a1	collagen, type XVI, alpha 1	A530052M23Rik|[a]1 (XVI) collagen|2700007F12Rik
MGI:88450	Col17a1	collagen, type XVII, alpha 1	Bpag|BPAg2|BP180|Bpag2
MGI:88451	Col18a1	collagen, type XVIII, alpha 1	endostatin
MGI:88467	Col1a1	collagen, type I, alpha 1	Cola-1|Col1a-1|Mov-13|Cola1
MGI:88468	Col1a2	collagen, type I, alpha 2	Col1a-2|Cola2|Cola-2
MGI:1920618	Col20a1	collagen, type XX, alpha 1	1700051I12Rik
MGI:1916950	Col22a1	collagen, type XXII, alpha 1	2310067L16Rik|C80743
MGI:2653243	Col23a1	collagen, type XXIII, alpha 1	2810458L13Rik
MGI:1918605	Col24a1	collagen, type XXIV, alpha 1	5430404K19Rik
MGI:1924268	Col25a1	collagen, type XXV, alpha 1	2700062B08Rik
MGI:2155345	Col26a1	collagen, type XXVI, alpha 1	9430032K24Rik|Emid2|Collagen XXVI|Emu2
MGI:2672118	Col27a1	collagen, type XXVII, alpha 1	5730512J02Rik
MGI:88452	Col2a1	collagen, type II, alpha 1	Col2|Lpk|Rgsc856|Col2a|Col2a-1|M100856|Del1
MGI:88453	Col3a1	collagen, type III, alpha 1	Tsk2|Tsk-2|Col3a-1
MGI:88454	Col4a1	collagen, type IV, alpha 1	Col4a-1|alpha1(IV) collagen|Del(8)Bru44H|Raw|Svc|Del(8)44H|Bru
MGI:88455	Col4a2	collagen, type IV, alpha 2	Col4a-2
MGI:104688	Col4a3	collagen, type IV, alpha 3	alpha3(IV)|tumstatin
MGI:1915268	Col4a3bp	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	ceramide transport protein|9230101K08Rik|2810404O15Rik|GPBP|Cert
MGI:104687	Col4a4	collagen, type IV, alpha 4	E130010M05Rik|[a]4(IV)
MGI:88458	Col5a2	collagen, type V, alpha 2	1110014L14Rik
MGI:1858212	Col5a3	collagen, type V, alpha 3	Pro-alpha3(V)
MGI:88459	Col6a1	collagen, type VI, alpha 1	Col6a-1
MGI:88460	Col6a2	collagen, type VI, alpha 2	Col6a-2
MGI:88461	Col6a3	collagen, type VI, alpha 3	Col6a-3
MGI:1915803	Col6a4	collagen, type VI, alpha 4	EG235580|Vwa6|Dvwa|1110001D15Rik
MGI:3648134	Col6a5	collagen, type VI, alpha 5	Gm7455|Col6a5
MGI:2444259	Col6a6	collagen, type VI, alpha 6	E330026B02Rik
MGI:88463	Col8a1	collagen, type VIII, alpha 1	Col8a-1
MGI:88465	Col9a1	collagen, type IX, alpha 1	Col9a-1
MGI:88466	Col9a2	collagen, type IX, alpha 2	Col9a-2
MGI:2685530	Colca2	COLCA2 homolog	Gm684|LOC270157
MGI:3606482	Colec10	collectin sub-family member 10	CL-L1
MGI:1918943	Colec11	collectin sub-family member 11	1010001H16Rik
MGI:2152907	Colec12	collectin sub-family member 12	Scara4|SRCL|CL-P1
MGI:1924348	Colgalt1	collagen beta(1-O)galactosyltransferase 1	2810024B22Rik|Glt25d1
MGI:2138232	Colgalt2	collagen beta(1-O)galactosyltransferase 2	Glt25d2
MGI:109474	Commd1	COMM domain containing 1	Murr1
MGI:1916706	Commd10	COMM domain containing 10	2310003A05Rik|DRWMS2
MGI:1098806	Commd2	COMM domain containing 2	HSPC042|D3Ertd176e|1190017G07Rik
MGI:88218	Commd3	COMM domain containing 3	D2Ertd542e|Bup
MGI:1913449	Commd4	COMM domain containing 4	1110039H05Rik
MGI:1913648	Commd5	COMM domain containing 5	Hcarg|D15Ertd81e|2310065H03Rik
MGI:1913450	Commd6	COMM domain containing 6	1110059J08Rik|1700063H17Rik
MGI:1914197	Commd7	COMM domain containing 7	mU3|2310010I22Rik
MGI:1343485	Commd8	COMM domain containing 8	D5Buc26e|IMAGE:1958590
MGI:1923751	Commd9	COMM domain containing 9	1810029F08Rik
MGI:88469	Comp	cartilage oligomeric matrix protein	TSP5|thrombospondin-5
MGI:88470	Comt	catechol-O-methyltransferase	D16Wsu103e|Comt1|D330014B15Rik
MGI:1916406	Comtd1	catechol-O-methyltransferase domain containing 1	1810030M08Rik|MT773
MGI:1334462	Copa	coatomer protein complex subunit alpha	xenin
MGI:1917599	Copb1	coatomer protein complex, subunit beta 1	2610019B04Rik|Copb1
MGI:1891702	Cope	coatomer protein complex, subunit epsilon	Cope1|1110005D17Rik
MGI:1858696	Copg1	coatomer protein complex, subunit gamma 1	D6Ertd71e|D6Wsu16e|Copg
MGI:1858742	Copg2os1	coatomer protein complex, subunit gamma 2, opposite strand 1	Copg2as1
MGI:1858731	Copg2os2	coatomer protein complex, subunit gamma 2, opposite strand 2	Lb9|Mit1|Copg2as2
MGI:1913673	Coprs	coordinator of PRMT5, differentiation stimulator	2410022L05Rik|COPR5|1700029I03Rik|MGC11316
MGI:1330276	Cops2	COP9 signalosome subunit 2	alien-like|Trip15|Sgn2|Csn2|alien homologue
MGI:1349409	Cops3	COP9 signalosome subunit 3	COP9 complex S3|Csn3|Sgn3
MGI:1349414	Cops4	COP9 signalosome subunit 4	COP9 complex S4|D5Ertd774e
MGI:1349415	Cops5	COP9 signalosome subunit 5	Jab1|COP9 complex S5|CSN5|Sgn5|JUN activation binding protein
MGI:1349439	Cops6	COP9 signalosome subunit 6	Sgn3|COP9 complex S6|VIP/MOV34
MGI:1349400	Cops7a	COP9 signalosome subunit 7A	D6Ertd35e|COP9 complex S7a
MGI:1349388	Cops7b	COP9 signalosome subunit 7B	D1Wsu66e|COP9 complex S7b
MGI:1915363	Cops8	COP9 signalosome subunit 8	Sgn8|Csn8|9430009J09Rik
MGI:1914165	Cops9	COP9 signalosome subunit 9	1110002M09Rik|Myeov2
MGI:1929063	Copz1	coatomer protein complex, subunit zeta 1	nonclathrin coat protein zeta1-COP|5930435A22Rik|D4Ertd360e
MGI:1929008	Copz2	coatomer protein complex, subunit zeta 2	1110012D12Rik|nonclathrin coat protein zeta2-COP|zeta2-COP
MGI:2684847	Coq10a	coenzyme Q10A	LOC210582
MGI:1915126	Coq10b	coenzyme Q10B	1500041J02Rik|9530077A17Rik|1700030I21Rik
MGI:1919133	Coq2	coenzyme Q2 4-hydroxybenzoate polyprenyltransferase	2310002F18Rik
MGI:101813	Coq3	coenzyme Q3 methyltransferase	C77934
MGI:1098826	Coq4	coenzyme Q4	EST-MNCb4625|D2Ertd97e
MGI:1098643	Coq5	coenzyme Q5 methyltransferase	1810014G04Rik|D5Ertd33e
MGI:1924408	Coq6	coenzyme Q6 monooxygenase	5930427M12Rik
MGI:107207	Coq7	demethyl-Q 7	clk-1
MGI:1914676	Coq8a	coenzyme Q8A	4632432J16Rik|Cabc1|Adck3
MGI:1924139	Coq8b	coenzyme Q8B	Adck4|0610012P18Rik
MGI:1915164	Coq9	coenzyme Q9	2310005O14Rik
MGI:1349451	Corin	corin	Lrp4
MGI:1345961	Coro1a	coronin, actin binding protein 1A	Clabp|p57|Lmb3|coronin 1
MGI:1345963	Coro1b	coronin, actin binding protein 1B	coronin 2
MGI:1345964	Coro1c	coronin, actin binding protein 1C	coronin 3
MGI:1345966	Coro2a	coronin, actin binding protein 2A	coronin 4|9030208C03Rik|IR10
MGI:2444283	Coro2b	coronin, actin binding protein, 2B	E130012P22Rik
MGI:2183448	Coro6	coronin 6	clipin E
MGI:1926135	Coro7	coronin 7	0610011B16Rik
MGI:109538	Cort	cortistatin	PCST|CST
MGI:1919292	Cotl1	coactosin-like 1 (Dictyostelium)	2010004C08Rik|1810074P22Rik
MGI:1917633	Cox10	cytochrome c oxidase assembly protein 10	2410004F01Rik
MGI:1917052	Cox11	cytochrome c oxidase assembly protein 11	2010004I09Rik
MGI:1913629	Cox14	cytochrome c oxidase assembly protein 14	2310016M24Rik
MGI:1920112	Cox15	cytochrome c oxidase assembly protein 15	2900026G05Rik
MGI:1913522	Cox16	cytochrome c oxidase assembly protein 16	1810020G14Rik|1810055I05Rik
MGI:1333806	Cox17	cytochrome c oxidase assembly protein 17	COX17
MGI:1915283	Cox19	cytochrome c oxidase assembly protein 19	1810074D02Rik|2810437L13Rik
MGI:1913609	Cox20	COX20 Cox2 chaperone	Fam36a|2310005N03Rik
MGI:3783125	Cox20-ps	COX20 Cox2 chaperone, pseudogene	Gm15683
MGI:88473	Cox4i1	cytochrome c oxidase subunit 4I1	COXIV|Cox4|Cox4a
MGI:2135755	Cox4i2	cytochrome c oxidase subunit 4I2	Cox4b|Cox IV-2
MGI:88474	Cox5a	cytochrome c oxidase subunit Va	CcOX
MGI:103099	Cox6a1	cytochrome c oxidase subunit VIa polypeptide 1	subunit VIaL (liver-type)|VIaL
MGI:104649	Cox6a2	cytochrome c oxidase subunit VIa polypeptide 2	subunit VIaH (heart-type)|VIaH|COXVIaH
MGI:107460	Cox6b1	cytochrome c oxidase, subunit VIb polypeptide 1	2010000G05Rik
MGI:3044182	Cox6b2	cytochrome c oxidase subunit VIb polypeptide 2	1700067P11Rik|COXVIB2
MGI:1316714	Cox7a1	cytochrome c oxidase subunit VIIa 1	COX7AM|COX7AH|COX7AH|COX7A
MGI:1316715	Cox7a2	cytochrome c oxidase subunit VIIa 2	Cox7a3|COX7AL
MGI:106015	Cox7a2l	cytochrome c oxidase subunit VIIa polypeptide 2-like	COX7AR|EB1|SIG-81|SIG81|COX7RP
MGI:1913392	Cox7b	cytochrome c oxidase subunit VIIb	1110004F07Rik
MGI:1925424	Cox7b2	cytochrome c oxidase subunit VIIb2	4930503B16Rik
MGI:103226	Cox7c	cytochrome c oxidase subunit VIIc	COXVIIc|Cox7c1
MGI:105959	Cox8a	cytochrome c oxidase subunit VIIIa	COX8L|COX VIII-L
MGI:105958	Cox8b	cytochrome c oxidase subunit VIIIb	COX8H|COX VIII-H
MGI:1922733	Cox8c	cytochrome c oxidase subunit VIIIc	1700007F21Rik|COXVIII-3|COX8-3
MGI:88476	Cp	ceruloplasmin	D3Ertd555e
MGI:88477	Cp2	cleft palate 2	Cp1
MGI:88478	Cpa1	carboxypeptidase A1, pancreatic	0910001L12Rik
MGI:88479	Cpa3	carboxypeptidase A3, mast cell	mast cell carboxypeptidase A|MC-CPA|mMC-CPA
MGI:1919041	Cpa4	carboxypeptidase A4	1110019K20Rik
MGI:1921899	Cpa5	carboxypeptidase A5	4930430M09Rik
MGI:3045348	Cpa6	carboxypeptidase A6	9030616D13Rik
MGI:1923953	Cpb1	carboxypeptidase B1 (tissue)	1810063F02Rik|2210008M23Rik|0910001A18Rik
MGI:1891837	Cpb2	carboxypeptidase B2 (plasma)	carboxypeptidase U|CPU|4930405E17Rik|TAFI|thrombin-activatable fibrinolysis inhibitor|CPR|carboxypeptidase R|1110032P04Rik
MGI:107265	Cpd	carboxypeptidase D	D830034L15Rik
MGI:101932	Cpe	carboxypeptidase E	carboxypeptidase H|CPH|Cph1|NF-alpha1|Cph-1
MGI:1922988	Cpeb1os1	cytoplasmic polyadenylation element binding protein 1, opposite strand 1	5430439G13Rik
MGI:2442640	Cpeb2	cytoplasmic polyadenylation element binding protein 2	A630055H10Rik
MGI:2443075	Cpeb3	cytoplasmic polyadenylation element binding protein 3	4831444O18Rik
MGI:1914829	Cpeb4	cytoplasmic polyadenylation element binding protein 4	4930447D24Rik
MGI:2444814	Cped1	cadherin-like and PC-esterase domain containing 1	A430107O13Rik
MGI:2151919	Cpfd1	cerebellum pattern fissures, declival 1	Cpfd-1q
MGI:2151920	Cpfd2	cerebellum pattern fissures, declival 2	Cpfd-2q
MGI:2151922	Cpfd3	cerebellum pattern fissures, declival 3	Cpfd-3q
MGI:2151923	Cpfd4	cerebellum pattern fissures, declival 4	Cpfd-4q
MGI:2151924	Cpfd5	cerebellum pattern fissures, declival 5	Cpfd-5q
MGI:5665132	Cpgi1	CpG island 1	CGI1
MGI:5665141	Cpgi10	CpG island 10	CGI10
MGI:5665231	Cpgi100	CpG island 100	CGI100
MGI:5666129	Cpgi1000	CpG island 1000	CGI1000
MGI:5675087	Cpgi10000	CpG island 10000	CGI10000
MGI:5675088	Cpgi10001	CpG island 10001	CGI10001
MGI:5675089	Cpgi10002	CpG island 10002	CGI10002
MGI:5675090	Cpgi10003	CpG island 10003	CGI10003
MGI:5675091	Cpgi10004	CpG island 10004	CGI10004
MGI:5675092	Cpgi10005	CpG island 10005	CGI10005
MGI:5675093	Cpgi10006	CpG island 10006	CGI10006
MGI:5675094	Cpgi10007	CpG island 10007	CGI10007
MGI:5675095	Cpgi10008	CpG island 10008	CGI10008
MGI:5675096	Cpgi10009	CpG island 10009	CGI10009
MGI:5666130	Cpgi1001	CpG island 1001	CGI1001
MGI:5675097	Cpgi10010	CpG island 10010	CGI10010
MGI:5675098	Cpgi10011	CpG island 10011	CGI10011
MGI:5675099	Cpgi10012	CpG island 10012	CGI10012
MGI:5675100	Cpgi10013	CpG island 10013	CGI10013
MGI:5675101	Cpgi10014	CpG island 10014	CGI10014
MGI:5675102	Cpgi10015	CpG island 10015	CGI10015
MGI:5675103	Cpgi10016	CpG island 10016	CGI10016
MGI:5675104	Cpgi10017	CpG island 10017	CGI10017
MGI:5675105	Cpgi10018	CpG island 10018	CGI10018
MGI:5675106	Cpgi10019	CpG island 10019	CGI10019
MGI:5666131	Cpgi1002	CpG island 1002	CGI1002
MGI:5675107	Cpgi10020	CpG island 10020	CGI10020
MGI:5675108	Cpgi10021	CpG island 10021	CGI10021
MGI:5675109	Cpgi10022	CpG island 10022	CGI10022
MGI:5675110	Cpgi10023	CpG island 10023	CGI10023
MGI:5675111	Cpgi10024	CpG island 10024	CGI10024
MGI:5675112	Cpgi10025	CpG island 10025	CGI10025
MGI:5675113	Cpgi10026	CpG island 10026	CGI10026
MGI:5675114	Cpgi10027	CpG island 10027	CGI10027
MGI:5675115	Cpgi10028	CpG island 10028	CGI10028
MGI:5675116	Cpgi10029	CpG island 10029	CGI10029
MGI:5666132	Cpgi1003	CpG island 1003	CGI1003
MGI:5675117	Cpgi10030	CpG island 10030	CGI10030
MGI:5675118	Cpgi10031	CpG island 10031	CGI10031
MGI:5675119	Cpgi10032	CpG island 10032	CGI10032
MGI:5675120	Cpgi10033	CpG island 10033	CGI10033
MGI:5675121	Cpgi10034	CpG island 10034	CGI10034
MGI:5675122	Cpgi10035	CpG island 10035	CGI10035
MGI:5675123	Cpgi10036	CpG island 10036	CGI10036
MGI:5675124	Cpgi10037	CpG island 10037	CGI10037
MGI:5675125	Cpgi10038	CpG island 10038	CGI10038
MGI:5675126	Cpgi10039	CpG island 10039	CGI10039
MGI:5666133	Cpgi1004	CpG island 1004	CGI1004
MGI:5675127	Cpgi10040	CpG island 10040	CGI10040
MGI:5675128	Cpgi10041	CpG island 10041	CGI10041
MGI:5675129	Cpgi10042	CpG island 10042	CGI10042
MGI:5675130	Cpgi10043	CpG island 10043	CGI10043
MGI:5675131	Cpgi10044	CpG island 10044	CGI10044
MGI:5675132	Cpgi10045	CpG island 10045	CGI10045
MGI:5675133	Cpgi10046	CpG island 10046	CGI10046
