## FlyBase Gene Snapshot Report
## Generated: Fri Jan 27 16:03:04 2017
## Using datasource: dbi:Pg:dbname=fb_2017_01_reporting;host=flysql15;port=5432...
##FBgn_ID	GeneSymbol	GeneName	datestamp	gene_snapshot_text
FBgn0260779	GatA	Glutamyl-tRNA amidotransferase, subunit A		In progress.
FBgn0260777	CG42571	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260776	CG42570	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260775	DnaJ-60	DnaJ-like-60		In progress.
FBgn0260771	Larp7	La related protein 7		La related protein 7 (Larp7) is an obligate component of the 7SK snRNP. The 7SK snRNP plays an essential role in RNA polymerase II elongation control by regulating the activity of the positive transcription elongation factor, P-TEFb.
FBgn0260770	CG42568	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260768	CG42566	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260767	CG42565	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260766	CG42564	-		CG42564 encodes a predicted cysteine-rich secretory protein that is produced in the male accessory gland and transferred to females during mating.
FBgn0260764	CG42562	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260763	CG42561	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260762	CG42560	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260761	CG42559	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260760	CG42558	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260759	CG42557	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260758	CG42556	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260756	CG42554	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260755	CG42553	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260753	Pdfr	Pigment-dispersing factor receptor		In progress.
FBgn0260750	Mulk	Multi-substrate lipid kinase		In progress.
FBgn0260749	Utx	Utx histone demethylase		Utx histone demethylase (Utx) is a Jumonji C containing protein that catalyzes the removal of methyl groups from Histone H3 lysine 27. Together with trr and Lpt, Utx is thought to regulate chromatin structure at transcriptional enhancers.
FBgn0260748	CG5004	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260747	CG5010	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260746	Ect3	Ectoderm-expressed 3		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260745	mfas	midline fasciclin		In progress.
FBgn0260744	Tango9	Transport and Golgi organization 9		In progress.
FBgn0260743	GC1	Glutamate Carrier 1		Glutamate Carrier 1 (GC1) is a carrier protein of the inner mitochondrial membrane that transports L-glutamate either with H[+] or in exchange for OH[-]. GC1 operates during uricogenesis and has an essential role in the mitochondrial glutamate metabolism.
FBgn0260742	CG12213	-		In progress.
FBgn0260741	CG3281	-		In progress.
FBgn0260713	CG42544	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262005	CG42823	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262004	CG42822	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262003	CG42821	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262002	CG42820	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262001	CG42819	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262000	CG42818	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261999	CG42817	-		In progress.
FBgn0261998	CG42816	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261997	CG42815	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261996	CG42814	-		In progress.
FBgn0261995	CG42813	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261994	CG42812	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261993	CG42811	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261992	CG42810	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261991	CG42809	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261990	CG42808	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261989	CG42807	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261988	Gprk2	G protein-coupled receptor kinase 2		G protein-coupled receptor kinase 2 (Gprk2) is a member of a family of serine/threonine kinases that modulate G-protein coupled receptors. It is required for female fertility, normal egg shape, and normal egg cAMP levels. Gprk2 is also implicated in Hedgehog signaling and olfactory rhythmicity.
FBgn0261987	Pxt	Peroxinectin-like		Peroxinectin-like (Pxt) is a cycloxygenase-like enzyme that contributes to the synthesis of prostaglandins. Prostaglandins activate G protein-coupled receptor signaling. Pxt roles include oogenesis, sperm individualization, morphogenesis, nucleolar structure, temporal control of gene expression, and regulation of gene amplification.
FBgn0261986	RASSF8	Ras association domain family member 8		In progress.
FBgn0261985	Ptpmeg	Protein tyrosine phosphatase Meg		Protein tyrosine phosphatase Meg is a tyrosine phosphatase that interacts with Eps-15. It negatively regulates border cell migration during oogenesis. It also inhibits the EGFR/Ras/mitogen-activated protein kinase signaling pathway during wing morphogenesis.
FBgn0261984	Ire1	Inositol-requiring enzyme-1		Inositol-requiring enzyme-1 (Ire1) is a transmembrane protein that mediates the unfolded protein response. Misfolded peptides in the endoplasmic reticulum activate Ire1 RNase activity, thereby promoting the cleavage of its downstream substrates, such as Xbp1 mRNA. Ire1 is also required for photoreceptor differentiation.
FBgn0261983	l(2)gd1	lethal (2) giant discs 1		Lethal (2) giant discs 1 is a cytosolic protein conserved in Metazoa. It is involved in the transport of proteins such as signaling receptors through the endosomal pathway. It interacts with the ESCRT-III core component shrb and is probably required for its full activity.
FBgn0261976	Psf2	Psf2		In progress.
FBgn0261975	CG42806	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261963	mid	midline		In progress.
FBgn0261955	kdn	knockdown		In progress.
FBgn0261954	east	enhanced adult sensory threshold		In progress.
FBgn0261953	TfAP-2	Transcription factor AP-2		Transcription factor AP-2 (TfAP-2) is a transcription factor with essential roles in leg, proboscis, and central nervous system development. TfAP-2 mediates Notch signaling in the developing tarsus.
FBgn0261952	srw	shrew		In progress.
FBgn0261938	mtRNApol	mitochondrial RNA polymerase		In progress.
FBgn0261934	dikar	dikar		In progress.
FBgn0261933	SmD1	Small ribonucleoprotein particle protein SmD1		Small ribonucleoprotein particle protein SmD1 (SmD1) is an RNA binding protein that forms a heterodimeric sub-complex with SmD2. They function as part of the heteroheptameric ring complex Sm core, which is involved in the formation of spliceosomal small nuclear RNPs (U1, U2, U4 and U5), which together catalyze pre-mRNA splicing.
FBgn0261932	CG42798	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261931	CG42797	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261930	vnd	ventral nervous system defective		Ventral nervous system defective (Vnd) is a Nk2-class homeodomain transcription factor that acts in a context-dependent manner as an activator or repressor. Vnd roles include patterning of the neuroectoderm, formation and specification of ventral neuroblasts and proper development of their cell lineages.
FBgn0261929	5-HT2B	5-hydroxytryptamine (serotonin) receptor 2B		5-hydroxytryptamine (serotonin) receptor 2B is a 5-hydroxytryptamine (serotonin) GPCR that belongs to the Class A GPCR family. They bind and transmit the signal from the neurotransmitter 5-HT (serotonin). The family can be subdivided into several subclasses based on pharmacology, signal transduction and structure. There are 5 serotonin receptors in the Drosophila melanogaster genome: 5-HT1A, 5-HT1B, 5-HT2A, 5-HT2B, and 5-HT7.
FBgn0261928	CG42795	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261925	CG42792	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261885	osa	osa		In progress.
FBgn0261881	l(2)35Be	lethal (2) 35Be		In progress.
FBgn0261873	sdt	stardust		Stardust is membrane-associated guanylate kinase (MAGUK) protein involved in the maintenance of apico-basal cell polarity and the organization of zonula adherens.
FBgn0261872	scaf6	SR-related CTD associated factor 6		In progress.
FBgn0261871	dpr2	defective proboscis extension response 2		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261862	whd	withered		In progress.
FBgn0261860	CG42789	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261859	CG42788	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261858	CG42787	-		In progress.
FBgn0261854	aPKC	atypical protein kinase C		Atypical protein kinase C (aPKC) is a member of the conserved Par complex (aPKC/baz/par-6) and is asymmetrically localized to the apical cortex, where it phosphorylates and thus excludes the basal determinants mira and numb. It is involved in neuroblast proliferation and self-renewal.
FBgn0261853	CG42782	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261850	Xpd	Xeroderma pigmentosum D		Xeroderma pigmentosum D is a DNA helicase that is a subunit of the basal transcription and DNA repair factor TFIIH.
FBgn0261849	CG42781	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261848	CG42780	-		In progress.
FBgn0261847	CG42779	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261846	CG42778	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261845	pre-mod(mdg4)-U	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261844	pre-mod(mdg4)-V	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261843	pre-mod(mdg4)-W	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261842	pre-mod(mdg4)-AE	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261841	pre-mod(mdg4)-AD	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261840	pre-mod(mdg4)-X	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261839	pre-mod(mdg4)-Y	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261838	pre-mod(mdg4)-Z	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261837	pre-mod(mdg4)-T	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261836	Msp300	Muscle-specific protein 300 kDa		Muscle-specific protein 300 kDa is a Nesprin-like protein that is required for proper positioning of muscle nuclei, mitochondria, and neuromuscular junction.
FBgn0261834	CG42766	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261832	CG42764	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261831	CG42763	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261830	CG42762	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261823	Asx	Additional sex combs		In progress.
FBgn0261822	Bsg	Basigin		Basigin is an IgG family glycoprotein that promotes cytoskeletal rearrangements and lamellipodia formation in cultured insect cells. It contributes to photoreceptor cell morphogenesis, sarcomere organization and spermatid development.
FBgn0261817	CG42759	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261816	CG42758	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261811	pico	pico		Pico is an intracellular adapter protein belonging to the MRL family of proteins, which transduce signals from growth factor receptors to changes in the actin cytoskeleton. Pico roles include the regulation of growth and cell migration.
FBgn0261808	cu	curled		In progress.
FBgn0261807	CG42753	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261806	CG42752	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261805	CG42751	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261804	CG42750	-		In progress.
FBgn0261803	CG42749	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261802	CG42748	-		In progress.
FBgn0261801	CG42747	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261800	LanB1	LanB1		In progress.
FBgn0261799	dsx-c73A	doublesex cognate 73A		Doublesex cognate 73A is a secreted cuticle protein in epidermis, salivary duct and trachea. The epidermal expression is under the control of ovo.
FBgn0261797	Dhc64C	Dynein heavy chain 64C		Dynein heavy chain 64C (Dhc64C) is the heavy chain subunit of the cytoplasmic dynein motor complex. The Dhc64C heavy chain dimer binds and hydrolyzes ATP, providing the power for movement of dynein. Dhc64C has an essential function in oocyte polarity, mitotic cell division, embryonic development, and neuronal transport and neurogenesis.
FBgn0260660	Mp	Multiplexin		Multiplexin (Mp) is a Collagen XV/XVIII type protein that functions in motor axon pathfinding. Mp is required for normal calcium channel abundance, presynaptic calcium influx, and neurotransmitter release.
FBgn0260659	CG42542	-		In progress.
FBgn0260658	CG42541	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260657	CG42540	-		In progress.
FBgn0260655	l(3)76BDm	lethal (3) 76BDm		In progress.
FBgn0260653	serp	serpentine		Serpentine (Serp) is a putative chitin deacetylase. It is expressed by the epidermal and tracheal cells and is secreted into the apical extracellular space. Serp activity maintains the strength of cuticles and restricts tracheal tube length.
FBgn0260648	Rrp40	Ribosomal RNA processing 40		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260646	CG42538	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260645	CG42537	-		In progress.
FBgn0260644	CG42536	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260643	CG42535	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260642	Antp	Antennapedia		Antennapedia (Antp) is the distal-most member of the Antennapedia complex; one of two Hox gene complexes. Antp is a sequence-specific homeodomain transcription factor, which is part of a developmental regulatory system that specifies segmental identity in the pro- and mesothorax. In adults loss of function is associated with a transformation of leg into antenna while ectopic expression in the head is associated with antenna to leg and eye to wing transformations.
FBgn0260639	gammaTub23C	gamma-Tubulin at 23C		In progress.
FBgn0260635	Diap1	Death-associated inhibitor of apoptosis 1		Death-associated inhibitor of apoptosis 1 is a cysteine-type endopeptidase with a caspase inhibitor activity that is involved in the control of apoptosis.
FBgn0260634	eIF4G2	eukaryotic translation initiation factor 4G2		In progress.
FBgn0260632	dl	dorsal		Dorsal is a transcription factor that functions with Dif, downstream of the Toll pathway. It contributes to certain functions of the Toll pathway, notably the dorsoventral patterning of early embryo.
FBgn0260499	qvr	quiver		Quiver is a Ly-6 protein. Ly-6 proteins are GPI-linked or secreted proteins that modulate the trafficking and/or activity of membrane protein targets, including Sh potassium channels and nicotinic acetylcholine receptors.
FBgn0260487	CG42534	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260486	Ziz	Zizimin		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260484	HIP	Hsc/Hsp70-interacting protein		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260482	CG32599	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260481	CG32454	-		In progress.
FBgn0260480	CG32295	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260479	CG31904	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260477	CG30283	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260475	CG30059	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260474	CG30002	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260470	SP555	SP555		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260468	CG7950	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260467	CG7071	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260466	Indy-2	I'm not dead yet 2		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260464	CG9288	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260463	Unc-115b	Uncoordinated 115b		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260462	CG12163	-		In progress.
FBgn0260461	Rcd7	Reduction in Cnn dots 7		In progress.
FBgn0260460	mRpS34	mitochondrial ribosomal protein S34		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260459	CG14106	-		In progress.
FBgn0260458	PGRP-LD	Peptidoglycan recognition protein LD		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260456	CG4806	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260455	CG10332	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260454	CG17139	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260453	CG17140	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260452	CG13984	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260451	CG14042	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260450	CalpC	Calpain C		Calpain C encodes one of four calcium-dependent cysteine proteases, but lack of conservation in the catalytic domain suggests it lacks proteolytic activity. No function has yet been identified.
FBgn0260446	GABA-B-R1	metabotropic GABA-B receptor subtype 1		In progress.
FBgn0260444	Not10	CCR4-NOT transcription complex subunit 10		In progress.
FBgn0260442	rhea	rhea		Rhea is fly talin, a large adaptor protein that is essential for all adhesive functions of integrins. It also has at least one role independent of integrins: repressing E-cadherin shg transcription in follicle cells.
FBgn0260441	RpS12	Ribosomal protein S12		In progress.
FBgn0260440	spdo	sanpodo		Sanpodo is a four-pass transmembrane domain containing protein that interacts with both numb and the Notch signaling pathway to enable precursor cells to divide asymmetrically to produce daughter cells of distinct fates. Its roles include cell fate specification in the nervous system, mesoderm, and endoderm.
FBgn0260439	Pp2A-29B	Protein phosphatase 2A at 29B		In progress.
FBgn0260436	CG42531	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260434	CG42529	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260431	CG42526	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260430	CG42525	-		In progress.
FBgn0260429	CG42524	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260428	CG42523	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260407	mRpS23	mitochondrial ribosomal protein S23		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260401	MED9	Mediator complex subunit 9		In progress.
FBgn0260400	elav	embryonic lethal abnormal vision		In progress.
FBgn0260399	gwl	greatwall		Greatwall is a kinase required for mitosis and female meiosis. It phosphorylates endos, which then acts as a stoichiometric inhibitor of the PP2A B-type adaptor subunit tws.
FBgn0260398	Pbp49	PSEA-binding protein 49kD		PSEA-binding protein 49kD (Pbp49) functions as one of three subunits of the small nuclear RNA (snRNA) activating protein complex, which binds as a complex to a proximal sequence element A (PSEA) to activate transcription of snRNA genes.
FBgn0260397	Su(var)3-3	Suppressor of variegation 3-3		In progress.
FBgn0260396	CG42521	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260393	CG17147	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260392	CG42518	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260390	CG42516	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0260388	CG42514	-		In progress.
FBgn0260386	mtg	mind the gap		In progress.
FBgn0262036	CG42847	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262035	CG42846	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262030	CG42841	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262029	d	dachs		Dachs is a myosin family protein that participates in Dachsous-Fat signaling, which polarizes its localization. It influences planar cell polarity, partly through interaction with pk, and growth, through interaction with wts.
FBgn0262026	CG42837	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262024	CG42835	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262023	CG42834	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262022	CG42833	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262021	CG42832	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262020	CG42831	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262018	CadN2	Cadherin-N2		In progress.
FBgn0262017	CG42830	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262010	CG42828	-		In progress.
FBgn0262009	CG42827	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262008	CG42826	-		In progress.
FBgn0262007	CG42825	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0262006	CG42824	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261563	wb	wing blister		Wing Blister is one of 2 laminin alpha chains which assembles into a Laminin molecule. Laminin is an extracellular matrix component that interacts with integrins and mediates cell adhesion, guidance, signalling and basement membrane integrity.
FBgn0261562	CG42676	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261561	CG42675	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261560	Thor	Thor		Thor is a eukaryotic translation initiation factor 4E binding protein that is controlled by tor. It contributes to translation regulation, response to environmental stress and cell growth regulation.
FBgn0261556	CG42674	-		In progress.
FBgn0261555	CG42673	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261554	CG42672	-		In progress.
FBgn0261553	CG42671	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261552	ps	pasilla		Pasilla is a Nuclear RNA binding protein implicated in splicing. It is expressed to high levels in the embryonic salivary gland and other tissues. Loss of function results in a significant reduction in secretory volume and secretory vesicles in the salivary gland and irregular gland morphologie.
FBgn0261550	CG42668	-		In progress.
FBgn0261549	rdgA	retinal degeneration A		In progress.
FBgn0261547	Exn	Ephexin		In progress.
FBgn0261545	CG42663	-		CG42663 is a Nck-associated protein 5-like protein involved in determination of lifespan.
FBgn0261538	CG42662	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261537	CG42661	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261536	CG42660	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261535	l(2)34Fd	lethal (2) 34Fd		In progress.
FBgn0261534	l(2)34Fc	lethal (2) 34Fc		In progress.
FBgn0261532	cdm	cadmus		Cadmus (Cdm) is a member of the importin beta family of nucleocytoplasmic cargo shuttling proteins. It functions at the neuromuscular junction to maintain normal subsynaptic reticulum structure and presynaptic probability of release.
FBgn0261531	CG42659	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261530	nbs	nbs		In progress.
FBgn0261529	ms(2)34Fe	male sterile (2) 34Fe		In progress.
FBgn0261526	NT1	Neurotrophin 1		In progress.
FBgn0261524	lic	licorne		In progress.
FBgn0261523	CG42658	-		In progress.
FBgn0261514	NimA	Nimrod A		In progress.
FBgn0261509	haf	hattifattener		Hattifattener is a large transmembrane leucine-rich repeat (LRR) protein whose mutants have variable motor axon defects in which ISNb motor axons fail to make the correct decisions at choice points.
FBgn0261508	CG42656	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261507	CG42655	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261506	CG42654	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261502	CG42650	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261501	CG42649	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261479	nero	nero		Nero is a deoxyhypusine hydroxylase enzyme that is required for the hypusination of eEF5 and is localized to the endoplasmic reticulum. Nero negatively regulates autophagy.
FBgn0261477	slim	scruin like at the midline		In progress.
FBgn0261461	RhoGAP18B	Rho GTPase activating protein at 18B		In progress.
FBgn0261458	capt	capulet		Capulet (Capt) is a conserved actin binding protein that functions across eukaryotes to negatively regulate actin filament assembly. Different types of actin filament formation are differentially affected by the loss of Capt.
FBgn0261456	hpo	hippo		In progress.
FBgn0261446	CG13377	-		In progress.
FBgn0261445	sgl	sugarless		In progress.
FBgn0261444	CG3638	-		In progress.
FBgn0261439	SdhA	Succinate dehydrogenase, subunit A (flavoprotein)		In progress.
FBgn0261437	CSN8	COP9 signalosome subunit 8		COP9 signalosome subunit 8 is the subunit 8 of the COP9 signalosome (CSN) and is essential for the stability of the complex. The CSN plays a central role in the regulation of E3-cullin RING ubiquitin ligases.
FBgn0261436	DhpD	Dihydropterin deaminase		In progress.
FBgn0261353	Ccdc56	Coiled-coil domain containing 56		Coiled-coil domain containing 56 (Ccdc56) is a small mitochondrial protein required for Cytochrome c Oxidase (COX) assembly and function.
FBgn0261349	Mst36Fb	Male-specific transcript 36Fb		In progress.
FBgn0261341	verm	vermiform		Vermiform (Verm) is a chitin deacetylase-like protein that is secreted by tracheal cells and accumulates in the embryonic tracheal lumen. Verm functions include cuticle development and tracheal tube size control.
FBgn0261294	CheB74a	Chemosensory protein B 74a		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261293	CheB53b	Chemosensory protein B 53b		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261292	CheB53a	Chemosensory protein B 53a		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261291	CheA86a	Chemosensory protein A 86a		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261290	CheA84a	Chemosensory protein A 84a		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261289	CheB98a	Chemosensory protein A 98a		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261287	ymp	yellow-emperor		In progress.
FBgn0261286	Mat89Ba	Maternal transcript 89Ba		In progress.
FBgn0261285	Ppcs	Phosphopantothenoylcysteine synthetase		In progress.
FBgn0261284	bou	boudin		Boudin is a membrane glycoprotein of the Ly6 superfamily that is required for the formation of septate junctions in epithelial tissues.
FBgn0261283	SREBP	Sterol regulatory element binding protein		In progress.
FBgn0261279	lqfR	liquid facets-Related		In progress.
FBgn0261278	grp	grapes		Grapes functions in a cell cycle checkpoint pathway that responds to DNA damage.
FBgn0261277	rtv	retroactive		Retroactive (Rtv) is a membrane-inserted protein. It is required for chitin organization in the cuticle and the tracheal system.
FBgn0261276	Opa1	Optic atrophy 1		Optic atrophy 1 (Opa1) is a dynamin-related GTPase that mediates fusion of the inner membrane of mitochondria. Opa1  usually works with Marf to coordinately fuse both mitochondrial membranes. Opa1 activity is regulated by proteolytic processing.
FBgn0261274	Ero1L	Endoplasmic reticulum oxidoreductin-1-like		In progress.
FBgn0261270	SelD	Selenide,water dikinase		Selenide, water dikinase is a selenophosphate synthetase (SPS) that catalyzes the synthesis of selenophosphate from selenide, ATP, and water, producing AMP and inorganic phosphate as products. SPS are well conserved proteins involved in selenium metabolism.
FBgn0261269	conv	convoluted		In progress.
FBgn0261268	Cul3	Cullin 3		In progress.
FBgn0261267	CG42615	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261266	zuc	zucchini		In progress.
FBgn0261262	CG42613	-		Insufficient genetic data for FlyBase to solicit a summary.
FBgn0261261	plx	pollux		In progress.
FBgn0261260	mgl	Megalin		In progress.
FBgn0261258	rgn	regeneration		In progress.
FBgn0261245	sing	singles bar		Singles Bar (Sing) is a small multipass transmembrane protein that is required for muscle fusion in embryonic and adult stages. Sing is needed for progression beyond the pre-fusion complex stage of myoblast fusion, possibly by delivering fusion machinery components by vesicle fusion.
FBgn0261244	inaE	inactivation no afterpotential E		In progress.
FBgn0261243	Psa	Puromycin sensitive aminopeptidase		In progress.
FBgn0261241	Vps16A	Vacuolar protein sorting 16A		In progress.
FBgn0261239	Hr39	Hormone receptor-like in 39		Hormone receptor-like in 39 (Hr39) is a nuclear hormone receptor protein in subfamily 5. Hr39 is a master regulator of female reproductive gland development from the bipotential genital disc, and in adults is required for reproductive gland secretion, ovulation and additional functions.
FBgn0261238	Alh	Alhambra		Alhambra (Alh) is a zinc finger/leucine zipper nuclear protein. It is required in the nervous system for maintaining eve expression and normal growth. It is also involved in muscle development and male courtship behavior.
FBgn0261119	Prp19	Pre-RNA processing factor 19		In progress.
FBgn0261113	Xrp1	Xrp1		In progress.
FBgn0261112	APP-BP1	beta-Amyloid precursor protein binding protein 1		In progress.
FBgn0261111	BHD	Birt-Hogg-Dube		In progress.
FBgn0261109	mrn	marionette		Marionette is a subunit of the basal transcription and DNA repair factor TFIIH.
FBgn0261108	Atg13	Autophagy-related 13		Autophagy-related 13 is a subunit of the evolutionarily conserved Atg1 kinase complex, which controls the initiation of autophagosome formation.
FBgn0261053	Cad86C	Cadherin 86C		Cadherin 86C is a member of the cadherin superfamily of transmembrane proteins, which mediate cell-cell adhesion and/or cell-cell communication.
